client_id,client_name,investment_director,institution_type,city,state,country,region,assets,security
2580,"Gleichner, Boyle and Willms",Toby Maxwell,Family,Houston,Texas,United States,United States,7280,High
2497,Swift-Stamm,Toby Maxwell,Family,New York,New York,United States,United States,26000000,High
526,AARP Foundation,Rufus Bailey,Foundation,Coventry,,United Kingdom,United Kingdom,101692,Medium
1955,Haley-Hagenes,Toby Maxwell,Family,Santa Monica,California,United States,United States,168219,High
2176,Schoen Group,Toby Maxwell,Family,Houston,Texas,United States,United States,265711,High
1395,Lynch Ltd,Frank Garner,Corporation,Los Angeles,California,United States,United States,156011,Medium
1273,Reichel-Fay,Toby Maxwell,Family,Stamford,Connecticut,United States,United States,210703,High
1706,Acorns Children's Hospice,Ryan Norris,Foundation,Stamford,Connecticut,United States,United States,26382,High
1802,Pagac and Sons,Erik Alvarez,Member Organization,Washington,District of Columbia,United States,United States,1608531,High
2163,Adelphi University,Alexander Simmons,College & University,Wales,,United Kingdom,United Kingdom,39307,Standard
574,Grady-Ritchie,Elaine McKinney,Sovereign Wealth Fund,Abu Dhabi,,United Arab Emirates,Middle East & Africa,702000000,High
2095,"Hartmann, Feeney and Murazik",Elaine McKinney,Government,Abu Dhabi,,United Arab Emirates,Middle East & Africa,8320000,High
931,Gutkowski-Jaskolski,Frank Garner,Corporation,Chicago,Illinois,United States,United States,7384000,Medium
2052,Douglas-Dach,Toby Maxwell,Family,New York,New York,United States,United States,18512000,High
1799,ActionAid,Arthur Medina,Foundation,Cambridge,Massachusetts,United States,United States,8245,Standard
1973,"Kovacek, Sawayn and Kozey",Erik Alvarez,Member Organization,West Chester,Pennsylvania,United States,United States,385738,Standard
920,Cartwright-Von,Kenneth Boone,Insurance Company,Hamilton,,Bermuda,United States,200330,High
1139,Leffler Group,Toby Maxwell,Family,New York,New York,United States,United States,16068,High
2186,"Lueilwitz, Schmitt and Blick",Toby Maxwell,Family,Lincoln,Massachusetts,United States,United States,30340,High
1495,Cartwright-Zulauf,Toby Maxwell,Family,The Plains,Virginia,United States,United States,195239,High
1234,Alma College,Alexander Simmons,College & University,Geneva,,Switzerland,Europe ex UK,349851,Standard
1836,Gaylord-Hayes,Darryl Mitchell,Family,St. Peter Port,,Guernsey,Europe ex UK,324119,High
751,Schaden and Sons,Toby Maxwell,Family,Pembroke,,Bermuda,United States,312000,High
2315,Trantow-Hansen,Steven Huang,Insurance Company,Wanchai,,Hong Kong,China,144361360,Standard
2164,Grant PLC,Kenneth Boone,Insurance Company,New York,New York,United States,United States,0,Standard
2173,"Abernathy, Funk and Murray",Erik Alvarez,Member Organization,Frederick,Maryland,United States,United States,78353,Standard
1045,Adventist Development and Relief Agency,Arthur Medina,Foundation,Birmingham,Alabama,United States,United States,559664,Standard
1750,Aerospace Heritage Foundation of Canada,Arthur Medina,Foundation,Austin,Texas,United States,United States,12752,Standard
2376,"Lynch, Stamm and Yundt",Frank Garner,Corporation,Edmonton,Alberta,Canada,Canada,0,Standard
2228,"Volkman, Jast and Wehner",Frank Garner,Corporation,Murray Hill,New Jersey,United States,United States,0,High
993,"Armstrong, Swift and Kling",Frank Garner,Corporation,Murray Hill,New Jersey,United States,United States,37440000,High
2211,McKenzie-Smitham,Darryl Mitchell,Family,Luxembourg,,Luxembourg,Europe ex UK,94976,High
1407,Alexander S. Onassis Foundation,Arthur Medina,Foundation,Portland,Maine,United States,United States,34257,Standard
1282,Allegheny Foundation,Arthur Medina,Foundation,Jacksonville,Florida,United States,United States,6148913,Standard
453,The Alliance for Safe Children,Arthur Medina,Foundation,Houston,Texas,United States,United States,233715,Standard
1,Avila College,Alexander Simmons,College & University,Oxford,,United Kingdom,United Kingdom,139464,Standard
395,Baldwin-Wallace College,Hope Walsh,College & University,Meadville,Pennsylvania,United States,United States,229673,Standard
2278,Bauch and Sons,Frank Garner,Corporation,Pittsburg,Pennsylvania,United States,United States,1790947,Standard
2281,"Pagac, Barrows and Hermann",Frank Garner,Corporation,Pittsburg,Pennsylvania,United States,United States,1213471,Standard
1643,Stoltenberg PLC,Kenneth Boone,Insurance Company,Hamilton,,Bermuda,United States,94687,Medium
2323,Kemmer-Vandervort,Kenneth Boone,Insurance Company,Northbrook,Illinois,United States,United States,0,Standard
537,Langosh-Streich,Darryl Mitchell,Family,London,,United Kingdom,Europe ex UK,2100455,High
1343,Bogisich-Runolfsson,Toby Maxwell,Family,Houston,Texas,United States,United States,401122,High
1453,Kautzer-Baumbach,Toby Maxwell,Family,Ft. Worth,Texas,United States,United States,26000,High
1445,"Shields, Dicki and Mosciski",Darryl Mitchell,Family,Guernsey,,United Kingdom,United Kingdom,156000,High
1034,Leffler Inc,Erik Alvarez,Member Organization,San Francisco,California,United States,United States,21555,Standard
1591,Daugherty Ltd,Erik Alvarez,Member Organization,Philadelphia,Pennsylvania,United States,United States,70455,Standard
1960,"Mills, Kshlerin and Aufderhar",Erik Alvarez,Member Organization,Washington,District of Columbia,United States,United States,72385,Standard
1884,"Feeney, Gerhold and Beer",Erik Alvarez,Member Organization,Chicago,Illinois,United States,United States,446630,Standard
679,"Lakin, Heathcote and Nicolas",Erik Alvarez,Member Organization,Washington,District of Columbia,United States,United States,16664,Standard
2495,Bernhard and Sons,Lena Goodwin,Union,New York,New York,United States,United States,1872000,Standard
16,Barry University,Hope Walsh,College & University,New York,New York,United States,United States,411752,Standard
27,"Mann, Hansen and Swift",Erik Alvarez,Member Organization,Philadelphia,Pennsylvania,United States,United States,125480,Standard
8,Gulgowski Ltd,Erik Alvarez,Member Organization,Washington,District of Columbia,United States,United States,101734,Standard
995,Veum-Pfannerstill,Erik Alvarez,Member Organization,Chicago,Illinois,United States,United States,197705,Standard
2498,Dietrich Inc,Frank Garner,Corporation,New York,New York,United States,United States,4257849,Standard
1633,Wolf PLC,Erik Alvarez,Member Organization,New York,New York,United States,United States,154975,Standard
1766,Waelchi and Sons,Erik Alvarez,Member Organization,New York,New York,United States,United States,440995,Standard
334,Fay and Sons,Herman Vega,Cultural & Environmental,New York,New York,United States,United States,521812,Standard
13,Jenkins PLC,Herman Vega,Cultural & Environmental,Washington,District of Columbia,United States,United States,1040000,Standard
17,Bastyr University,Hope Walsh,College & University,New York,New York,United States,United States,204883,Standard
596,Reilly-Hauck,Erik Alvarez,Member Organization,Washington,District of Columbia,United States,United States,153823,Standard
10,Beaver College,Hope Walsh,College & University,Washington,District of Columbia,United States,United States,80371,Standard
20,Bennington College,Hope Walsh,College & University,Amherst,Massachusetts,United States,United States,3114102,Standard
2371,Legros and Sons,Kenneth Boone,Insurance Company,Lincoln,Rhode Island,United States,United States,0,Standard
2072,Lueilwitz Inc,Toby Maxwell,Family,Westwood,Massachusetts,United States,United States,144654,High
607,Medical Center Barbour,Cory Little,Hospital,Winter Park,Florida,United States,United States,791909,Standard
271,American Near East Refugee Aid,Arthur Medina,Foundation,Yonkers,New York,United States,United States,40685,Standard
1007,Bibb Medical Center,Cory Little,Hospital,New York,New York,United States,United States,27516,Standard
1542,King-Pagac,Herman Vega,Cultural & Environmental,Boston,Massachusetts,United States,United States,80282,Standard
1791,Amref Health Africa,Arthur Medina,Foundation,Denver,Colorado,United States,United States,369445,Standard
2174,"Kessler, Hintz and Terry",Erik Alvarez,Member Organization,Frederick,Maryland,United States,United States,27752,Standard
1707,Larson-Lang,Herman Vega,Cultural & Environmental,Boston,Massachusetts,United States,United States,55622,Standard
749,Nikolaus-Jenkins,Darryl Mitchell,Family,,,United Kingdom,United Kingdom,1040000,High
1967,Abshire Group,Darryl Mitchell,Family,Tortola,,"Virgin Islands, British",Europe ex UK,497288,High
31,Labadie PLC,Erik Alvarez,Religious Institution,Chicago,Illinois,United States,United States,1694848,Medium
53,Dibbert-Hill,Herman Vega,Cultural & Environmental,Washington,District of Columbia,United States,United States,26924,Standard
1265,Berea College,Hope Walsh,College & University,Tempe,Arizona,United States,United States,557408,Standard
2221,Aufderhar Ltd,Herman Vega,Cultural & Environmental,Kansas City,Missouri,United States,United States,0,Standard
1517,Lakin-Jacobs,Toby Maxwell,Family,,Missouri,United States,United States,32157,High
1505,Bluffton College,Hope Walsh,College & University,,Delaware,United States,United States,167628,Standard
853,Botsford-Kihn,Erik Alvarez,Religious Institution,New York,New York,United States,United States,110782,Standard
68,Effertz PLC,Herman Vega,Cultural & Environmental,New York,New York,United States,United States,143287,Standard
2421,Funk Group,Darryl Mitchell,Family,Andorra La Vell,,Andorra,Europe ex UK,61750,High
1498,Friesen PLC,Lena Goodwin,Special Purpose Trust,Cincinnati,Ohio,United States,United States,986890,Standard
32,Bob Jones University,Hope Walsh,College & University,Pasadena,California,United States,United States,30533,Standard
