user_id,website,answers,insights,market,obm,opd,ors_private,ors_public,PIOS,MMOS
3,,yes,yes,yes,,,,,,
5,yes,yes,yes,yes,,,,,yes,yes
7,yes,yes,yes,yes,,,,,yes,yes
13,,yes,yes,yes,,,,,,
15,yes,yes,yes,yes,,,,,yes,yes
19,yes,,,,yes,,,,,
21,yes,yes,yes,yes,yes,,yes,,yes,yes
22,yes,yes,yes,yes,yes,yes,,,,
23,yes,yes,yes,yes,yes,,yes,yes,yes,yes
24,yes,,,,yes,,,,,
25,yes,,yes,,,,,,yes,yes
26,yes,yes,yes,yes,yes,,,,,
27,yes,,,,yes,,,,,
28,yes,,,,,,,,yes,yes
29,yes,yes,yes,yes,,,yes,yes,,
31,yes,yes,yes,yes,yes,,yes,,yes,yes
32,yes,yes,yes,yes,,,,,yes,yes
33,,yes,,yes,,,,,,
34,yes,,yes,yes,,,,,yes,yes
35,,yes,yes,yes,,,,,,
36,yes,yes,yes,yes,,,,,yes,yes
39,yes,yes,yes,yes,,,,,,
41,,yes,yes,yes,,,,,,
44,yes,,,,yes,,,,yes,yes
48,yes,,,,,,,,,
50,yes,yes,yes,yes,,,yes,,,
51,,yes,yes,yes,,,,,,
52,,yes,yes,yes,,,,,,
53,yes,yes,yes,yes,,,,,,
59,,yes,,yes,,,,,,
61,yes,yes,yes,yes,,,,,yes,yes
62,yes,yes,yes,yes,,,,,yes,yes
63,yes,,,,,,,,yes,yes
64,yes,yes,yes,yes,yes,,yes,,yes,yes
65,yes,yes,yes,yes,yes,,,yes,yes,yes
66,yes,yes,yes,yes,yes,,yes,yes,yes,yes
67,yes,,,,,,,,yes,yes
70,,yes,yes,yes,,,,,,
73,yes,yes,yes,yes,yes,,yes,yes,yes,yes
74,yes,yes,yes,yes,,,,,,
76,,yes,,yes,,,,,,
78,,yes,yes,yes,,,,,,
79,yes,yes,yes,yes,yes,,yes,,,
80,yes,yes,yes,yes,,,,,yes,yes
81,yes,yes,yes,yes,,,,,yes,yes
86,,yes,,yes,,,,,,
87,yes,yes,yes,yes,yes,,yes,yes,yes,yes
88,yes,yes,yes,yes,,,,,yes,yes
91,yes,,,,yes,,,,,
92,,yes,yes,yes,,,,,,
93,,yes,,yes,,,,,,
96,yes,yes,yes,yes,yes,,yes,,yes,yes
97,,yes,yes,yes,,,,,,
98,yes,,,,,,,,,
99,yes,,,,yes,,,,yes,yes
100,,yes,yes,yes,,,,,,
101,yes,yes,yes,yes,,,,,yes,yes
102,yes,yes,yes,yes,,,,,,
104,yes,,,,,,,,,
106,yes,yes,yes,yes,yes,yes,,,yes,yes
111,yes,yes,yes,yes,,,,,,
113,yes,,,,yes,,,,yes,yes
115,yes,yes,,yes,yes,yes,yes,yes,yes,yes
116,,yes,yes,yes,,,,,,
117,yes,,,,yes,,,,,
118,yes,yes,yes,yes,,,,,yes,yes
119,yes,yes,yes,yes,yes,yes,,,yes,yes
121,yes,yes,yes,yes,,,,,,
122,yes,yes,yes,yes,yes,yes,,,yes,yes
123,yes,,,,yes,,,,,
124,yes,yes,yes,yes,,,,,yes,yes
128,yes,yes,yes,yes,,yes,,,,
129,yes,yes,yes,yes,yes,,yes,yes,,
